date_week,card_id,count_trx,sales
,5000700307761,0,
6/25/2023,5000700233791,1,301.5
5/28/2023,5000700233791,1,158.75
6/18/2023,5000700233791,1,213.75
7/16/2023,5000700233791,1,279.75
7/9/2023,5000700233791,1,28.5
12/10/2023,5000700233791,2,446.5
5/28/2023,5000700274518,4,3859.5
4/23/2023,5000700274518,3,508
3/19/2023,5000700274518,2,652
1/1/2023,5000700274518,1,282.75
8/13/2023,5000700274518,3,1049
11/19/2023,5000700274518,2,134
9/24/2023,5000700274518,1,335.25
1/15/2023,5000700274518,4,2684.25
7/2/2023,5000700274518,2,1290.75
3/26/2023,5000700167122,1,599.5
11/19/2023,5000700167122,1,659.75
12/17/2023,5000700167122,1,69
10/15/2023,5000700167122,3,3328.25
8/27/2023,5000700167122,1,51.5
3/5/2023,5000700130691,2,643.25
6/4/2023,5000700130691,1,89.75
9/3/2023,5000700130691,2,1170.5
10/15/2023,5000700130691,4,1604.75
7/16/2023,5000700130691,1,808.81
1/1/2023,5000700130691,3,1914.5
9/24/2023,5000700130691,1,519.55
,5000700311262,0,
,5000700292345,0,
12/24/2023,5000700250577,1,399.5
7/23/2023,5000700250577,1,180
6/18/2023,5000700224773,1,650.75
2/12/2023,5000700224773,2,1402
8/20/2023,5000700224773,2,487
1/29/2023,5000700037370,3,1344.25
2/12/2023,5000700037370,2,1199.5
3/19/2023,5000700037370,3,1673.5
12/3/2023,5000700037370,4,4490.26
5/14/2023,5000700037370,4,1459
11/5/2023,5000700037370,3,515.75
11/26/2023,5000700037370,2,2185.22
6/4/2023,5000700140492,1,2092.25
4/30/2023,5000700140492,2,1366.5
12/10/2023,5000700140492,4,2815.5
7/16/2023,5000700140492,4,17306.05
10/8/2023,5000700294108,3,1990.77
9/3/2023,5000700294108,1,194
10/1/2023,5000700288880,2,432.5
7/2/2023,5000700288880,1,366.77
10/15/2023,5000700288880,2,298
12/10/2023,5000700048924,3,793.5
10/22/2023,5000700221049,1,124.5
9/3/2023,5000700221049,1,249.75
1/8/2023,5000700237087,2,1118.5
2/12/2023,5000700244826,1,520.5
12/17/2023,5000700231283,3,3175.8
11/12/2023,5000700231283,1,2079.8
6/18/2023,5000700231283,2,787.75
6/25/2023,5000700206175,1,899.5
4/16/2023,5000700206175,1,186.75
2/26/2023,5000700206175,1,192.5
11/26/2023,5000700206175,1,182.75
12/24/2023,5000700206175,1,4261.1
8/20/2023,5000700187890,1,121
1/1/2023,5000700271496,1,167.5
7/2/2023,5000700271496,1,299.75
3/26/2023,5000700179012,1,1592.75
11/26/2023,5000700179012,2,1400.37
7/2/2023,5000700179012,3,3391.02
6/25/2023,5000700179012,2,666.25
10/15/2023,5000700296920,2,188.8
9/3/2023,5000700092943,1,1159.75
12/10/2023,5000700092943,1,2099
12/10/2023,5000700100530,3,9627.6
1/29/2023,5000700100530,1,999
8/6/2023,5000700100530,1,1499.75
,5000700312637,0,
7/23/2023,5000700248243,2,1460.25
12/17/2023,5000700248243,1,2595
8/13/2023,5000700248243,2,107.92
12/24/2023,5000700302136,3,2452.95
10/15/2023,5000700281837,1,296.92
3/26/2023,5000700281837,1,509.5
7/23/2023,5000700261873,2,859.12
1/1/2023,5000700261873,1,518.75
6/11/2023,5000700070571,1,539.8
3/5/2023,5000700070571,1,762.85
5/28/2023,5000700070571,3,1097.75
4/9/2023,5000700070571,1,598
8/6/2023,5000700070571,1,129
7/30/2023,5000700115466,1,899
5/21/2023,5000700115466,1,7884.05
7/2/2023,5000700115466,1,376.62
12/24/2023,5000700115466,1,20124.5
4/16/2023,5000700229468,1,474
3/19/2023,5000700229468,1,492.5
1/29/2023,5000700229468,1,611
10/15/2023,5000700229468,1,504.82
9/3/2023,5000700244357,1,250
5/21/2023,5000700244357,2,1099.5
8/13/2023,5000700266095,2,5657.92
2/19/2023,5000700266095,1,245
6/11/2023,5000700266095,3,1758.75
5/28/2023,5000700007675,2,941.59
5/21/2023,5000700007675,2,571.25
11/5/2023,5000700007675,1,1199.2
5/7/2023,5000700007675,2,1913.25
4/9/2023,5000700280206,1,717
1/22/2023,5000700075398,1,2410
7/9/2023,5000700114058,1,409.25
6/4/2023,5000700114058,1,36.75
2/26/2023,5000700114058,1,681.75
11/26/2023,5000700201652,6,1908.84
10/1/2023,5000700243589,1,550
12/24/2023,5000700155054,1,579.5
10/8/2023,5000700220883,2,92.75
1/22/2023,5000700220883,1,199.75
6/11/2023,5000700275811,2,1021.87
5/14/2023,5000700275811,1,179.5
5/28/2023,5000700275811,1,699
11/26/2023,5000700275811,1,62.52
3/12/2023,5000700275811,2,628.25
12/24/2023,5000700244562,2,339.75
10/29/2023,5000700244562,2,1692.8
10/22/2023,5000700244562,1,518
9/17/2023,5000700191365,1,104
11/19/2023,5000700191365,2,3634.37
12/3/2023,5000700191365,1,618.61
9/3/2023,5000700191365,1,197
4/9/2023,5000700191365,1,209.25
5/21/2023,5000700191365,2,347.05
7/9/2023,5000700191365,1,269.75
1/22/2023,5000700191365,1,479.75
9/24/2023,5000700191365,2,1108.5
12/10/2023,5000700016535,1,5793.44
8/6/2023,5000700016535,1,559
3/5/2023,5000700281416,1,326.75
12/24/2023,5000700302997,1,403.75
1/8/2023,5000700153757,1,779
2/19/2023,5000700253343,2,912.29
6/11/2023,5000700253343,3,2448.25
3/19/2023,5000700253343,2,1592.67
4/30/2023,5000700253343,4,854.75
5/21/2023,5000700253343,2,1211.27
1/1/2023,5000700253343,2,1596.75
11/19/2023,5000700253343,3,2701.14
12/17/2023,5000700253343,1,389.25
12/3/2023,5000700253343,2,649.75
8/6/2023,5000700253343,1,399
10/15/2023,5000700253343,1,1037
11/12/2023,5000700253343,2,699.25
7/23/2023,5000700253343,2,468.75
9/3/2023,5000700253343,1,500
9/17/2023,5000700037882,1,574
2/26/2023,5000700102338,1,104.5
8/20/2023,5000700102338,2,637
3/12/2023,5000700102338,2,1096.25
5/28/2023,5000700007716,1,363.25
4/23/2023,5000700007716,1,225.5
11/5/2023,5000700294667,3,1737.5
10/15/2023,5000700294667,2,1463.25
7/30/2023,5000700291089,1,2248.2
7/30/2023,5000700263674,2,486
11/12/2023,5000700263674,2,205
1/8/2023,5000700263674,1,53.25
12/17/2023,5000700263674,2,185
4/16/2023,5000700263674,1,103.75
7/16/2023,5000700263674,1,619
1/15/2023,5000700263674,2,1369.5
,5000700303140,0,
1/1/2023,5000700271241,1,516.25
1/29/2023,5000700271241,1,638.75
12/10/2023,5000700269049,1,1026.5
8/13/2023,5000700237761,2,979.5
7/30/2023,5000700237761,1,129.75
11/12/2023,5000700237761,1,119.75
1/29/2023,5000700240486,1,1016.75
3/5/2023,5000700240486,1,4500
,5000700312913,0,
7/23/2023,5000700247124,1,1152.25
10/15/2023,5000700247124,3,1474.04
4/16/2023,5000700247124,1,495.9
8/20/2023,5000700220342,1,608
,50007003068272,0,
3/19/2023,5000700054831,1,559.75
2/26/2023,5000700054831,1,566.5
1/22/2023,5000700054831,1,535.75
2/26/2023,5000700030009,2,239.5
3/5/2023,5000700030009,3,1291.75
9/10/2023,5000700030009,1,516.25
12/10/2023,5000700030009,1,3448.55
7/16/2023,5000700030009,1,216.25
12/17/2023,5000700030009,2,4037.36
5/28/2023,5000700275952,1,190
1/29/2023,5000700275952,1,84
4/9/2023,5000700275952,1,531.64
12/10/2023,5000700275952,2,1535.75
12/17/2023,5000700275952,6,4094.82
6/25/2023,5000700275952,1,344.99
7/2/2023,5000700275952,2,364.2
11/19/2023,5000700275952,2,1380.25
11/26/2023,5000700275952,6,5947.47
2/26/2023,5000700157518,2,989
6/4/2023,5000700157518,2,869.75
12/24/2023,5000700157518,2,841.64
12/17/2023,5000700157518,2,517
9/17/2023,5000700210363,1,16.75
7/23/2023,5000700210363,2,2462.5
7/30/2023,5000700210363,2,1975.75
,295000700243704,0,
11/12/2023,5000700293773,1,519
10/1/2023,5000700293773,1,498.75
8/13/2023,5000700229372,1,252.75
4/2/2023,5000700229372,3,219.25
4/23/2023,5000700229372,1,34
7/16/2023,5000700229372,1,678
9/10/2023,5000700229372,1,259
12/24/2023,5000700296661,1,647.75
5/14/2023,5000700205063,2,269.58
4/9/2023,5000700205063,1,509.25
2/19/2023,5000700205063,1,289.75
,5000700269638,0,
6/18/2023,5000700266226,1,279.75
12/3/2023,5000700266226,4,2033.82
9/3/2023,5000700266226,5,11006.75
4/30/2023,5000700266226,2,6978.75
2/12/2023,5000700266226,5,4132.75
12/24/2023,5000700266226,1,499.76
1/15/2023,5000700266226,2,139
7/9/2023,5000700208982,4,2342.52
8/27/2023,5000700208982,2,999.75
10/8/2023,5000700208982,2,373.75
10/22/2023,5000700234778,2,402.25
12/17/2023,5000700234778,1,599.75
4/23/2023,5000700234778,1,17.5
12/31/2023,5000700063507,3,2747.5
9/24/2023,5000700063507,1,1099.75
6/18/2023,5000700165378,1,1587.07
6/11/2023,5000700165378,1,10.5
,5000700135356,0,
5/28/2023,5000700263683,2,888.5
8/6/2023,5000700263683,1,179.75
9/3/2023,5000700263683,1,189.75
10/22/2023,5000700263683,1,693.5
6/11/2023,5000700141173,5,1466.75
12/17/2023,5000700141173,2,1194.47
4/30/2023,5000700093998,5,3286.25
10/29/2023,5000700093998,1,676.5
12/17/2023,5000700093998,1,383.25
2/5/2023,5000700093998,1,1068
7/16/2023,5000700093998,2,3498.75
1/29/2023,5000700093998,1,309.5
4/2/2023,5000700102129,1,154
11/12/2023,5000700102129,1,118.25
12/17/2023,5000700298230,2,4036.49
4/23/2023,5000700132302,1,379.5
12/3/2023,5000700132302,2,301.25
12/24/2023,5000700298064,1,549.5
11/12/2023,5000700298064,1,2547.75
10/29/2023,5000700298064,1,569.5
12/3/2023,5000700251949,1,799.61
2/19/2023,5000700045519,7,2584.85
3/26/2023,5000700045519,2,1231.4
12/17/2023,5000700045519,2,3006.67
11/26/2023,5000700045519,1,119
9/17/2023,5000700045519,4,1022.25
7/9/2023,5000700045519,4,549
11/19/2023,5000700045519,1,1429.5
7/30/2023,5000700045519,3,4562.25
12/10/2023,5000700045519,2,823.75
9/24/2023,5000700045519,1,269.25
5/7/2023,5000700045519,2,487.25
10/29/2023,5000700045519,1,99.75
12/17/2023,5000700301303,2,4352.25
4/16/2023,5000700143336,1,101.75
7/30/2023,5000700143336,2,1431
12/10/2023,5000700143336,3,2160.26
,5000700055316,0,
5/14/2023,5000700257978,1,568.75
10/29/2023,5000700257978,1,531.5
7/23/2023,5000700257978,2,1129.5
11/5/2023,5000700257978,1,249.75
6/18/2023,5000700257978,4,668.5
2/19/2023,5000700257978,2,152.25
7/2/2023,5000700257978,1,379.75
11/26/2023,5000700257978,3,2355.2
8/6/2023,5000700161373,2,603.85
10/22/2023,5000700161373,1,288
5/14/2023,5000700161373,2,1744.84
9/3/2023,5000700161373,1,556.32
6/25/2023,5000700161373,1,91.18
11/5/2023,5000700296435,1,478.75
12/3/2023,5000700296435,1,103.8
11/12/2023,5000700296435,1,329.5
12/17/2023,5000700296435,1,4499
10/8/2023,5000700296435,1,295.2
12/10/2023,5000700295535,1,509.5
10/22/2023,5000700295535,1,106.5
12/3/2023,5000700295535,1,32.5
10/1/2023,5000700296073,2,3678.5
10/8/2023,5000700296073,4,6667
12/17/2023,5000700279690,2,739.5
8/27/2023,5000700279690,1,528.55
11/12/2023,5000700279690,1,498.9
9/17/2023,5000700193733,1,2059.75
8/20/2023,5000700193733,2,1809
,5000700249428,0,
12/31/2023,5000700265059,2,818.5
3/5/2023,5000700278643,1,116
6/18/2023,5000700162440,2,315
6/25/2023,5000700162440,1,689.5
4/30/2023,5000700162440,1,569.25
2/19/2023,5000700253056,2,469.29
8/27/2023,5000700253056,2,2147.85
2/5/2023,5000700253056,2,1029.5
1/15/2023,5000700253056,2,897.75
11/26/2023,5000700169588,1,80.77
7/16/2023,5000700169588,1,630.75
10/29/2023,5000700169588,1,599.75
5/14/2023,5000700169588,2,4198
8/27/2023,5000700169588,1,497
5/28/2023,5000700193595,2,417
8/13/2023,5000700193595,3,1124.25
1/1/2023,5000700193595,2,8244.49
,500070029893,0,
5/28/2023,5000700197619,1,790
8/27/2023,5000700197619,1,577
6/11/2023,5000700197619,2,1028.5
4/16/2023,5000700197619,3,8863.2
10/8/2023,5000700275307,1,401.32
6/11/2023,5000700275307,2,1133.6
9/10/2023,5000700286943,3,1413.05
9/3/2023,5000700286943,1,579.25
7/2/2023,5000700286943,1,809.77
12/10/2023,5000700299179,2,2838
12/24/2023,5000700299179,2,868.75
11/12/2023,5000700299179,1,229
,5000700310276,0,
7/30/2023,5000700290679,5,4901.25
8/20/2023,5000700290679,1,1988.5
12/17/2023,5000700290679,1,703.82
11/5/2023,5000700290679,1,533.75
11/12/2023,5000700288895,2,1181.25
2/19/2023,5000700238987,1,590
4/16/2023,5000700238987,1,499.62
9/17/2023,5000700201403,2,214.25
11/19/2023,5000700201403,1,69.5
9/10/2023,5000700201403,1,150
,5000700296384,0,
2/26/2023,5000700249635,4,1060.25
10/1/2023,5000700249635,6,390.25
9/17/2023,5000700249635,1,502.5
10/8/2023,5000700249635,1,175
1/1/2023,5000700249635,2,1406.82
10/22/2023,5000700249635,1,177.25
6/4/2023,5000700249635,3,2705.35
12/24/2023,5000700249635,1,289
5/7/2023,5000700205652,1,1200
8/6/2023,5000700205652,2,4997.79
10/15/2023,5000700205652,2,6993.75
,5000700314873,0,
10/15/2023,5000700228137,1,172.25
,5000700308994,0,
12/17/2023,5000700301914,1,2031.1
,5000700312106,0,
11/12/2023,5000700297775,3,1886.87
12/10/2023,5000700297775,2,1688.5
,5000700313961,0,
1/8/2023,5000700043784,2,3666.75
2/19/2023,5000700043784,2,203.25
3/26/2023,5000700043784,1,269.5
5/28/2023,5000700043784,3,1043.54
5/21/2023,5000700043784,5,2318.27
12/24/2023,5000700043784,7,5314
8/13/2023,5000700043784,2,1729.27
7/9/2023,5000700043784,1,37.5
3/19/2023,5000700043784,1,29.75
1/29/2023,5000700043784,1,70.5
5/7/2023,5000700043784,2,439.25
12/17/2023,5000700043784,3,2325.45
1/22/2023,5000700043784,2,1000
7/30/2023,5000700043784,3,489.25
2/12/2023,5000700006467,1,501.75
2/19/2023,5000700006467,1,639.5
5/28/2023,5000700035153,1,999.5
11/12/2023,5000700035153,1,683.67
12/10/2023,5000700035153,1,309.25
2/12/2023,5000700035153,1,899.77
9/10/2023,5000700052860,2,1429.77
6/4/2023,5000700135611,3,1836.5
2/5/2023,5000700135611,3,1475
10/1/2023,5000700135611,2,719.25
9/3/2023,5000700135611,4,785
12/3/2023,5000700135611,1,996.11
10/8/2023,5000700135611,3,1507
7/30/2023,5000700135611,3,699.37
8/20/2023,5000700135611,4,719.42
7/23/2023,5000700135611,2,225
7/16/2023,5000700135611,2,784
12/17/2023,5000700135611,1,869.76
12/24/2023,5000700135611,2,585
8/13/2023,5000700135611,1,49.75
1/15/2023,5000700135611,2,3507
1/22/2023,5000700135611,1,229.75
1/29/2023,5000700135611,1,809.77
12/10/2023,5000700225366,1,499.25
7/30/2023,5000700290174,1,478.75
7/23/2023,5000700290174,3,969.5
7/9/2023,5000700290174,2,1672.5
5/7/2023,5000700187405,1,59.75
1/15/2023,5000700187405,1,258.75
2/19/2023,5000700226201,2,475
12/24/2023,5000700294418,1,492.5
9/10/2023,5000700294418,3,522.03
2/5/2023,5000700247385,1,569.5
11/5/2023,5000700293245,1,521.6
10/29/2023,5000700293245,5,8198.57
10/1/2023,5000700293245,1,502.25
11/19/2023,5000700230788,3,3134.1
12/10/2023,5000700230788,2,3542.8
1/8/2023,5000700095367,1,67
5/28/2023,5000700251268,2,739.5
10/1/2023,5000700251268,1,1639.25
7/16/2023,5000700251268,3,3067.5
8/27/2023,5000700290714,1,1479.1
9/24/2023,5000700290714,1,504.75
12/24/2023,5000700290714,2,3237.85
7/9/2023,5000700078082,2,484.75
8/20/2023,5000700078082,1,69.75
3/19/2023,5000700078082,1,209.75
4/9/2023,5000700175247,1,529.75
8/13/2023,5000700236187,1,567.75
8/6/2023,5000700236187,1,199
7/9/2023,5000700168994,2,3425.5
10/15/2023,5000700168994,4,512.37
12/24/2023,5000700168994,1,397.5
4/2/2023,5000700168994,2,248
2/12/2023,5000700168994,5,2012.92
11/12/2023,5000700168994,3,1379.32
1/15/2023,5000700168994,2,509
9/17/2023,5000700167993,1,439.82
4/16/2023,5000700177412,2,2504.5
3/12/2023,5000700177412,2,5948.6
4/2/2023,5000700177412,2,909.75
12/10/2023,5000700177412,1,1328.25
3/19/2023,5000700177412,1,449.75
12/17/2023,5000700177412,1,899.75
9/10/2023,5000700229075,1,339.5
5/28/2023,5000700229075,1,286
3/19/2023,5000700224974,1,169.75
12/10/2023,5000700224974,1,160
12/31/2023,5000700224974,1,400
1/22/2023,5000700224974,1,499.5
10/29/2023,5000700224974,1,19.75
8/27/2023,5000700224974,1,799.75
7/2/2023,5000700224974,1,479.8
9/10/2023,5000700224974,1,890
10/1/2023,5000700276617,1,499.75
12/24/2023,5000700138181,2,2719.66
3/12/2023,5000700278892,1,1250.5
9/17/2023,5000700278892,1,446.25
12/24/2023,5000700278892,1,446.25
8/6/2023,5000700278892,1,40
7/23/2023,5000700278892,1,85
2/5/2023,5000700272645,1,564.25
11/12/2023,5000700272645,2,777.35
11/26/2023,5000700272645,1,149.75
12/17/2023,5000700298018,1,1409.25
12/10/2023,5000700298018,2,1769.32
,5000700157564,0,
,5000700309741,0,
3/19/2023,5000700207387,1,301.75
10/8/2023,5000700207387,1,266.84
9/3/2023,5000700207387,2,722.5
12/3/2023,5000700207387,3,1461
10/22/2023,5000700207387,1,1045.02
9/10/2023,5000700207387,3,1187.05
10/15/2023,5000700207387,1,79
12/10/2023,5000700207387,3,483.75
10/22/2023,5000700209129,1,1299.5
11/19/2023,5000700209129,3,577.25
8/20/2023,5000700209129,1,229.87
12/17/2023,5000700224934,3,1328
11/19/2023,5000700224934,1,290
4/16/2023,5000700224934,1,649.75
11/26/2023,5000700224934,2,50
4/16/2023,5000700202605,2,1049.5
8/20/2023,5000700202605,1,639.6
4/9/2023,5000700202605,1,1351.27
5/21/2023,5000700202605,1,1494.52
3/12/2023,5000700202605,1,229.75
8/27/2023,5000700287695,1,2581.75
8/6/2023,5000700175926,1,99.5
2/19/2023,5000700079393,1,159.75
5/28/2023,5000700079393,1,99.5
3/5/2023,5000700186293,1,243.75
